place_name,place_id,place_rating,place_category,place_address,review_text,review_rating,review_date,reviewer_name,reviewer_photos,review_likes
Avisena Specialist Clinic Cyberjaya,ChIJNUYlbC-3zTERpQEJZU0GjO0,5.0,Specialist Clinic,"A-01-12, Avisena Specialist Clinic Cyberjaya, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor","The staff are very helpful and kind. I came alone and they even helped me hold my baby during the registration and settling the bill, which I really appreciate.

Dr Kent’s explanation and examination were very thorough and helpful.

The clinic environment is comfortable and clean. While, the price is standard for a private hospital outpatient clinic.

Overall, a very pleasant experience for me and my baby. I’m really grateful to have a specialist clinic near my house in Cyberjaya.",5,3 months ago,Nur,0,0
Avisena Specialist Clinic Cyberjaya,ChIJNUYlbC-3zTERpQEJZU0GjO0,5.0,Specialist Clinic,"A-01-12, Avisena Specialist Clinic Cyberjaya, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor","I had an absolutely amazing experience at Avisena Specialist Clinic Cyberjaya. From the moment we stepped in, the service was outstanding. Dr. Nadiah, the paediatrician who attended to my son, was exceptional — warm, patient, and incredibly thorough. You can truly feel that she cares, and that made all the difference for us.

The staff were all fantastic too — friendly, efficient, and always ready to help. Their professionalism combined with genuine kindness really stood out. 👍🏻👍🏻👍🏻

The location is great as well — convenient, easy to access, and the clinic environment is clean, modern, and comfortable.

Overall, a brilliant experience from start to finish. I’m truly grateful and would highly recommend Avisena Specialist Clinic Cyberjaya to any parent looking for top-notch care. ❤️",5,5 months ago,Dee_Az,0,0
Avisena Specialist Clinic Cyberjaya,ChIJNUYlbC-3zTERpQEJZU0GjO0,5.0,Specialist Clinic,"A-01-12, Avisena Specialist Clinic Cyberjaya, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor",The clinic has a very comfortable and relaxing atmosphere — the soft yellow lighting and gentle background music make you feel calm right away. The staff and doctor are all patient and kind. The doctor is very professional and explains everything clearly. The equipment is also complete and well-maintained. I felt truly cared for during my visit.,5,7 months ago,Tan SJ,0,0
Avisena Specialist Clinic Cyberjaya,ChIJNUYlbC-3zTERpQEJZU0GjO0,5.0,Specialist Clinic,"A-01-12, Avisena Specialist Clinic Cyberjaya, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor","Dr Kent is an amazing, well trusted and extremely experienced Pediatrician. Would definitely recommend !!",5,4 months ago,nabiha izzuddin,0,0
Avisena Specialist Clinic Cyberjaya,ChIJNUYlbC-3zTERpQEJZU0GjO0,5.0,Specialist Clinic,"A-01-12, Avisena Specialist Clinic Cyberjaya, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor",Avisena Specialist Clinic right in the heart of Tamarind Square.,5,8 months ago,taufik badaruddin,0,0
Avisena Specialist Clinic Cyberjaya,ChIJNUYlbC-3zTERpQEJZU0GjO0,5.0,Specialist Clinic,"A-01-12, Avisena Specialist Clinic Cyberjaya, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor",Good service cantik.. staff friendly,5,2 weeks ago,Doctor Raja,0,0
Avisena Specialist Clinic Cyberjaya,ChIJNUYlbC-3zTERpQEJZU0GjO0,5.0,Specialist Clinic,"A-01-12, Avisena Specialist Clinic Cyberjaya, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor",Dr Kent is very good. Keep following up even after the visit.,5,2 weeks ago,Saye Tedu,0,0
Avisena Specialist Clinic Cyberjaya,ChIJNUYlbC-3zTERpQEJZU0GjO0,5.0,Specialist Clinic,"A-01-12, Avisena Specialist Clinic Cyberjaya, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor","Very nice clinic, having great experience here",5,2 weeks ago,SITI ALIAH,0,0
Avisena Specialist Clinic Cyberjaya,ChIJNUYlbC-3zTERpQEJZU0GjO0,5.0,Specialist Clinic,"A-01-12, Avisena Specialist Clinic Cyberjaya, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor",Good services,5,2 weeks ago,Akmal AbdulRahman,0,0
Avisena Specialist Clinic Cyberjaya,ChIJNUYlbC-3zTERpQEJZU0GjO0,5.0,Specialist Clinic,"A-01-12, Avisena Specialist Clinic Cyberjaya, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor",Very friendly staff and very calming environment!,5,2 weeks ago,Aadila Azemi,0,0
